status,address,zip,city,street,year,price,pricePerSqft,beds,baths,area(sqft),lotSize(sqft),link
For Sale,"910 San Patricio St, San Antonio, TX 78207",78207,San Antonio,910 San Patricio St,1992,"$185,000",$157,3,1,"1,176","5,097",/realestateandhomes-detail/910-San-Patricio-St_San-Antonio_TX_78207_M75751-24838
Pending,"214 Aztec St, San Antonio, TX 78207",78207,San Antonio,214 Aztec St,1945,"$135,000",$115,3,2,"1,176","2,701",/realestateandhomes-detail/214-Aztec-St_San-Antonio_TX_78207_M84754-11740
For Sale,"111 Carmen Pl, San Antonio, TX 78207",78207,San Antonio,111 Carmen Pl,1958,"$175,000",$109,3,1.5,"1,604","7,405",/realestateandhomes-detail/111-Carmen-Pl_San-Antonio_TX_78207_M84708-21731
For Sale,"310 San Carlos St, San Antonio, TX 78207",78207,San Antonio,310 San Carlos St,1985,"$134,997",$112,3,1,"1,203","5,750",/realestateandhomes-detail/310-San-Carlos-St_San-Antonio_TX_78207_M71105-67598
For Sale,"1516 Mercado Aly, San Antonio, TX 78207",78207,San Antonio,1516 Mercado Aly,1955,"$79,900",$60,3,1,"1,336","1,786",/realestateandhomes-detail/1516-Mercado-Aly_San-Antonio_TX_78207_M75163-82340
For Sale,"1105 Delgado St, San Antonio, TX 78207",78207,San Antonio,1105 Delgado St,1930,"$104,979",$199,1,1,528,"1,307",/realestateandhomes-detail/1105-Delgado-St_San-Antonio_TX_78207_M89835-48793
For Sale,"1126 Grand Aly, San Antonio, TX 78207",78207,San Antonio,1126 Grand Aly,1934,"$64,900",$106,2,1,612,"2,701",/realestateandhomes-detail/1126-Grand-Aly_San-Antonio_TX_78207_M84406-18648
For Sale,"819 Rivas St, San Antonio, TX 78207",78207,San Antonio,819 Rivas St,1940,"$161,000",$135,3,1,"1,192","8,015",/realestateandhomes-detail/819-Rivas-St_San-Antonio_TX_78207_M85063-23060
Pending,"614 Arbor Pl, San Antonio, TX 78207",78207,San Antonio,614 Arbor Pl,,"$160,000",$132,3,2,"1,214","9,540",/realestateandhomes-detail/614-Arbor-Pl_San-Antonio_TX_78207_M87508-62174
status,address,zip,city,street,year,price,pricePerSqft,beds,baths,area(sqft),lotSize(sqft),link
For Sale,"310 San Carlos St, San Antonio, TX 78207",78207,San Antonio,310 San Carlos St,1985,"$134,997",$112,3,1,"1,203","5,750",/realestateandhomes-detail/310-San-Carlos-St_San-Antonio_TX_78207_M71105-67598
For Sale,"2422 Ruiz St, San Antonio, TX 78207",78207,San Antonio,2422 Ruiz St,1945,"$200,000",$175,3,2.5,"1,140","7,841",/realestateandhomes-detail/2422-Ruiz-St_San-Antonio_TX_78207_M77739-55608
For Sale,"2508 San Luis St, San Antonio, TX 78207",78207,San Antonio,2508 San Luis St,1930,"$118,000",$123,2,2.5,960,"3,528",/realestateandhomes-detail/2508-San-Luis-St_San-Antonio_TX_78207_M88494-89197
Pending,"247 Hazel St, San Antonio, TX 78207",78207,San Antonio,247 Hazel St,1951,"$179,900",$80,3,2,"2,260","9,148",/realestateandhomes-detail/247-Hazel-St_San-Antonio_TX_78207_M93332-66101
For Sale,"111 Carmen Pl, San Antonio, TX 78207",78207,San Antonio,111 Carmen Pl,1958,"$175,000",$109,3,1.5,"1,604","7,405",/realestateandhomes-detail/111-Carmen-Pl_San-Antonio_TX_78207_M84708-21731
For Sale,"1126 Grand Aly, San Antonio, TX 78207",78207,San Antonio,1126 Grand Aly,1934,"$64,900",$106,2,1,612,"2,701",/realestateandhomes-detail/1126-Grand-Aly_San-Antonio_TX_78207_M84406-18648
For Sale,"2323 Arbor Pl, San Antonio, TX 78207",78207,San Antonio,2323 Arbor Pl,1930,"$218,000",$100,5,4,"2,190","7,841",/realestateandhomes-detail/2323-Arbor-Pl-2_San-Antonio_TX_78207_M80912-32248
For Sale,"910 San Patricio St, San Antonio, TX 78207",78207,San Antonio,910 San Patricio St,1992,"$185,000",$157,3,1,"1,176","5,097",/realestateandhomes-detail/910-San-Patricio-St_San-Antonio_TX_78207_M75751-24838
For Sale,"2926 Tampico St, San Antonio, TX 78207",78207,San Antonio,2926 Tampico St,1947,"$187,000",$150,3,2,"1,250","3,520",/realestateandhomes-detail/2926-Tampico-St_San-Antonio_TX_78207_M79448-75593
For Sale,"1603 Chihuahua St, San Antonio, TX 78207",78207,San Antonio,1603 Chihuahua St,1978,"$141,000",$130,2,1,"1,085","8,494",/realestateandhomes-detail/1603-Chihuahua-St_San-Antonio_TX_78207_M74913-50999
For Sale,"1516 Mercado Aly, San Antonio, TX 78207",78207,San Antonio,1516 Mercado Aly,1955,"$79,900",$60,3,1,"1,336","1,786",/realestateandhomes-detail/1516-Mercado-Aly_San-Antonio_TX_78207_M75163-82340
Pending,"1223 Santiago St, San Antonio, TX 78207",78207,San Antonio,1223 Santiago St,1945,"$115,000",$141,3,1,816,"5,793",/realestateandhomes-detail/1223-Santiago-St_San-Antonio_TX_78207_M73385-08848
Pending,"214 Aztec St, San Antonio, TX 78207",78207,San Antonio,214 Aztec St,1945,"$135,000",$115,3,2,"1,176","2,701",/realestateandhomes-detail/214-Aztec-St_San-Antonio_TX_78207_M84754-11740
For Sale,"238 Carmen Pl, San Antonio, TX 78207",78207,San Antonio,238 Carmen Pl,1955,"$160,000",$166,3,1,962,"6,970",/realestateandhomes-detail/238-Carmen-Pl_San-Antonio_TX_78207_M73087-40177
For Sale,"2009 Saunders Ave, San Antonio, TX 78207",78207,San Antonio,2009 Saunders Ave,1930,"$144,900",$98,3,1,"1,486","7,536",/realestateandhomes-detail/2009-Saunders-Ave_San-Antonio_TX_78207_M71201-30424
status,address,zip,city,street,year,price,pricePerSqft,beds,baths,area(sqft),lotSize(sqft),link
status,address,zip,city,street,year,price,pricePerSqft,beds,baths,area(sqft),lotSize(sqft),link
status,address,zip,city,street,year,price,pricePerSqft,beds,baths,area(sqft),lotSize(sqft),link
For Sale,"310 San Carlos St, San Antonio, TX 78207",78207,San Antonio,310 San Carlos St,1985,"$134,997",$112,3,1,"1,203","5,750",/realestateandhomes-detail/310-San-Carlos-St_San-Antonio_TX_78207_M71105-67598
For Sale,"2422 Ruiz St, San Antonio, TX 78207",78207,San Antonio,2422 Ruiz St,1945,"$200,000",$175,3,2.5,"1,140","7,841",/realestateandhomes-detail/2422-Ruiz-St_San-Antonio_TX_78207_M77739-55608
For Sale,"2508 San Luis St, San Antonio, TX 78207",78207,San Antonio,2508 San Luis St,1930,"$118,000",$123,2,2.5,960,"3,528",/realestateandhomes-detail/2508-San-Luis-St_San-Antonio_TX_78207_M88494-89197
status,address,zip,city,street,year,price,pricePerSqft,beds,baths,area(sqft),lotSize(sqft),link
For Sale,"310 San Carlos St, San Antonio, TX 78207",78207,San Antonio,310 San Carlos St,1985,"$134,997",$112,3,1,"1,203","5,750",/realestateandhomes-detail/310-San-Carlos-St_San-Antonio_TX_78207_M71105-67598
For Sale,"2422 Ruiz St, San Antonio, TX 78207",78207,San Antonio,2422 Ruiz St,1945,"$200,000",$175,3,2.5,"1,140","7,841",/realestateandhomes-detail/2422-Ruiz-St_San-Antonio_TX_78207_M77739-55608
For Sale,"2508 San Luis St, San Antonio, TX 78207",78207,San Antonio,2508 San Luis St,1930,"$118,000",$123,2,2.5,960,"3,528",/realestateandhomes-detail/2508-San-Luis-St_San-Antonio_TX_78207_M88494-89197
Pending,"247 Hazel St, San Antonio, TX 78207",78207,San Antonio,247 Hazel St,1951,"$179,900",$80,3,2,"2,260","9,148",/realestateandhomes-detail/247-Hazel-St_San-Antonio_TX_78207_M93332-66101
For Sale,"1126 Grand Aly, San Antonio, TX 78207",78207,San Antonio,1126 Grand Aly,1934,"$64,900",$106,2,1,612,"2,701",/realestateandhomes-detail/1126-Grand-Aly_San-Antonio_TX_78207_M84406-18648
For Sale,"111 Carmen Pl, San Antonio, TX 78207",78207,San Antonio,111 Carmen Pl,1958,"$175,000",$109,3,1.5,"1,604","7,405",/realestateandhomes-detail/111-Carmen-Pl_San-Antonio_TX_78207_M84708-21731
For Sale,"2323 Arbor Pl, San Antonio, TX 78207",78207,San Antonio,2323 Arbor Pl,1930,"$218,000",$100,5,4,"2,190","7,841",/realestateandhomes-detail/2323-Arbor-Pl-2_San-Antonio_TX_78207_M80912-32248
For Sale,"910 San Patricio St, San Antonio, TX 78207",78207,San Antonio,910 San Patricio St,1992,"$185,000",$157,3,1,"1,176","5,097",/realestateandhomes-detail/910-San-Patricio-St_San-Antonio_TX_78207_M75751-24838
For Sale,"2926 Tampico St, San Antonio, TX 78207",78207,San Antonio,2926 Tampico St,1947,"$187,000",$150,3,2,"1,250","3,520",/realestateandhomes-detail/2926-Tampico-St_San-Antonio_TX_78207_M79448-75593
For Sale,"1603 Chihuahua St, San Antonio, TX 78207",78207,San Antonio,1603 Chihuahua St,1978,"$141,000",$130,2,1,"1,085","8,494",/realestateandhomes-detail/1603-Chihuahua-St_San-Antonio_TX_78207_M74913-50999
For Sale,"1516 Mercado Aly, San Antonio, TX 78207",78207,San Antonio,1516 Mercado Aly,1955,"$79,900",$60,3,1,"1,336","1,786",/realestateandhomes-detail/1516-Mercado-Aly_San-Antonio_TX_78207_M75163-82340
Pending,"1223 Santiago St, San Antonio, TX 78207",78207,San Antonio,1223 Santiago St,1945,"$115,000",$141,3,1,816,"5,793",/realestateandhomes-detail/1223-Santiago-St_San-Antonio_TX_78207_M73385-08848
Pending,"214 Aztec St, San Antonio, TX 78207",78207,San Antonio,214 Aztec St,1945,"$135,000",$115,3,2,"1,176","2,701",/realestateandhomes-detail/214-Aztec-St_San-Antonio_TX_78207_M84754-11740
For Sale,"238 Carmen Pl, San Antonio, TX 78207",78207,San Antonio,238 Carmen Pl,1955,"$160,000",$166,3,1,962,"6,970",/realestateandhomes-detail/238-Carmen-Pl_San-Antonio_TX_78207_M73087-40177
